Scientific.Name,sub-order,Family,DescriptionYear,MaxSVL_mm,MaxAvgBroodSize,Diet,ReproductMode,substrate,TreeImputed,Missing_MaxSVL,Missing_MaxAvgBroodSize,Missing_Diet,Missing_ReproductMode,Missing_substrate
Anolis stratulus,Sauria,Anolidae,1861,61,,Carnivorous,Oviparous,Arboreal,0,0,1,0,0,0
Anolis subocularis,Sauria,Anolidae,1954,63,1,,Oviparous,Arboreal&Saxicolous&Terrestrial,0,0,0,1,0,0
Anolis sulcifrons,Sauria,Anolidae,1899,64,,,,,1,0,1,1,1,1
Anolis tandai,Sauria,Anolidae,1995,74,1,Carnivorous,Oviparous,Arboreal&Terrestrial,1,0,0,0,0,0
Anolis taylori,Sauria,Anolidae,1945,78,1,Carnivorous,Oviparous,Arboreal&Saxicolous,0,0,0,0,0,0
Anolis tenorioensis,Sauria,Anolidae,2011,45,,Carnivorous,,Arboreal,0,0,1,0,1,0
Anolis terraealtae,Sauria,Anolidae,1915,80,,Carnivorous,Oviparous,Arboreal,0,0,1,0,0,0
Anolis terueli,Sauria,Anolidae,2001,40,,,,Arboreal,1,0,1,1,1,0
Anolis tetarii,Sauria,Anolidae,1996,86,,,Oviparous,Arboreal,1,0,1,1,0,0
Anolis tigrinus,Sauria,Anolidae,1863,58,,Carnivorous,,Arboreal,0,0,1,0,1,0
Anolis toldo,Sauria,Anolidae,2000,612,,,,Arboreal,1,0,1,1,1,0
Anolis tolimensis,Sauria,Anolidae,1916,60,1.14,Carnivorous,Oviparous,Arboreal,1,0,0,0,0,0
Anolis townsendi,Sauria,Anolidae,1900,69,,,,Arboreal&Saxicolous&Terrestrial,0,0,1,1,1,0
Anolis trachyderma,Sauria,Anolidae,1876,61,2,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Anolis transversalis,Sauria,Anolidae,1851,98,1,Carnivorous,Oviparous,Arboreal,0,0,0,0,0,0
Anolis trinitatis,Sauria,Anolidae,1862,80,1,Omnivorous,Oviparous,Arboreal&Saxicolous&Terrestrial,0,0,0,0,0,0
Anolis tropidogaster,Sauria,Anolidae,1856,63,1,Carnivorous,Oviparous,Arboreal,0,0,0,0,0,0
Anolis tropidolepis,Sauria,Anolidae,1885,59,1,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Anolis tropidonotus,Sauria,Anolidae,1863,65,1,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Anolis uniformis,Sauria,Anolidae,1885,41,1,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Anolis unilobatus,Sauria,Anolidae,2010,505,,,,Arboreal,0,0,1,1,1,0
Anolis utilensis,Sauria,Anolidae,1996,62,,,Oviparous,Arboreal,0,0,1,1,0,0
Anolis valencienni,Sauria,Anolidae,1837,86,1,Omnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Anolis vanidicus,Sauria,Anolidae,1972,39,,,Oviparous,Arboreal&Terrestrial,0,0,1,1,0,0
Anolis vanzolinii,Sauria,Anolidae,1996,110,,Carnivorous,,Arboreal,0,0,1,0,1,0
Anolis vaupesianus,Sauria,Anolidae,1982,82,,,,Arboreal,1,0,1,1,1,0
Anolis ventrimaculatus,Sauria,Anolidae,1911,80,,,Oviparous,Arboreal,0,0,1,1,0,0
Anolis vermiculatus,Sauria,Anolidae,1837,135,,Omnivorous,Oviparous,Semi-Aquatic,0,0,1,0,0,0
Anolis vescus,Sauria,Anolidae,1992,41,,,,Arboreal,1,0,1,1,1,0
Anolis vicarius,Sauria,Anolidae,1986,47,,,,Arboreal,1,0,1,1,1,0
Anolis villai,Sauria,Anolidae,1976,60,,,,Arboreal,1,0,1,1,1,0
Anolis vittigerus,Sauria,Anolidae,1862,72,1,Carnivorous,Oviparous,Arboreal,1,0,0,0,0,0
Anolis wampuensis,Sauria,Anolidae,2001,513,,,,Arboreal&Terrestrial,1,0,1,1,1,0
Anolis wattsii,Sauria,Anolidae,1894,58,1,Carnivorous,Oviparous,Arboreal&Saxicolous&Terrestrial,,0,0,0,0,0
Anolis websteri,Sauria,Anolidae,1980,55,,,,Arboreal,0,0,1,1,1,0
Anolis wellbornae,Sauria,Anolidae,1940,54,,,,Arboreal&Terrestrial,1,0,1,1,1,0
Anolis wermuthi,Sauria,Anolidae,1998,56,,,,Terrestrial,1,0,1,1,1,0
Anolis williamsmittermeierorum,Sauria,Anolidae,2007,66,,,,Arboreal,1,0,1,1,1,0
Anolis woodi,Sauria,Anolidae,1940,100,1,,Oviparous,Arboreal,0,0,0,1,0,0
Anolis yoroensis,Sauria,Anolidae,2001,47,,,,Arboreal&Terrestrial,0,0,1,1,1,0
Anolis zapotecorum,Sauria,Anolidae,2014,50,,,,Arboreal&Terrestrial,0,0,1,1,1,0
Anolis zeus,Sauria,Anolidae,2001,44,,,,Arboreal,0,0,1,1,1,0
Basiliscus basiliscus,Sauria,Corytophanidae,1758,250,10,Omnivorous,Oviparous,Semi-Aquatic,0,0,0,0,0,0
Basiliscus galeritus,Sauria,Corytophanidae,1851,240,,Omnivorous,Oviparous,Semi-Aquatic,0,0,1,0,0,0
Basiliscus plumifrons,Sauria,Corytophanidae,1876,250,,Omnivorous,Oviparous,Semi-Aquatic,0,0,1,0,0,0
Basiliscus vittatus,Sauria,Corytophanidae,1828,225,6.9,Omnivorous,Oviparous,Semi-Aquatic,0,0,0,0,0,0
Brachylophus bulabula,Sauria,Iguanidae,2008,250,,Herbivorous,Oviparous,Arboreal,1,0,1,0,0,0
Brachylophus fasciatus,Sauria,Iguanidae,1800,250,3.89,Herbivorous,Oviparous,Arboreal,0,0,0,0,0,0
Brachylophus vitiensis,Sauria,Iguanidae,1981,255,4,Herbivorous,Oviparous,Arboreal,0,0,0,0,0,0
Cachryx alfredschmidti,Sauria,Iguanidae,1995,175,,Herbivorous,Oviparous,Arboreal,,0,1,0,0,0
Cachryx defensor,Sauria,Iguanidae,1866,155,,Herbivorous,Oviparous,Arboreal&Saxicolous&Terrestrial,,0,1,0,0,0
Callisaurus draconoides,Sauria,Phrynosomatidae,1835,109,6,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Chalarodon madagascariensis,Sauria,Opluridae,1854,90,2,Omnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Conolophus marthae,Sauria,Iguanidae,2009,470,4.4,Herbivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Conolophus pallidus,Sauria,Iguanidae,1903,500,10,Herbivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Conolophus subcristatus,Sauria,Iguanidae,1831,616,13.5,Herbivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Cophosaurus texanus,Sauria,Phrynosomatidae,1852,89,6.8,Carnivorous,Oviparous,Saxicolous&Terrestrial,0,0,0,0,0,0
Corytophanes cristatus,Sauria,Corytophanidae,1820,125,6,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Corytophanes hernandesii,Sauria,Corytophanidae,1831,120,4,Carnivorous,Oviparous,Arboreal&Terrestrial,1,0,0,0,0,0
Corytophanes percarinatus,Sauria,Corytophanidae,1856,110,7.1,Carnivorous,Viviparous,Arboreal,0,0,0,0,0,0
Crotaphytus antiquus,Sauria,Crotaphytidae,1995,1086,,Carnivorous,Oviparous,Saxicolous,0,0,1,0,0,0
Crotaphytus bicinctores,Sauria,Crotaphytidae,1972,117,5.4,Carnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Crotaphytus collaris,Sauria,Crotaphytidae,1823,131,8.3,Carnivorous,Oviparous,Saxicolous&Terrestrial,0,0,0,0,0,0
Crotaphytus dickersonae,Sauria,Crotaphytidae,1922,116,,Carnivorous,Oviparous,Saxicolous&Terrestrial,0,0,1,0,0,0
Crotaphytus grismeri,Sauria,Crotaphytidae,1994,99,,Carnivorous,Oviparous,Saxicolous,0,0,1,0,0,0
Crotaphytus insularis,Sauria,Crotaphytidae,1921,121,5.4,Carnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Crotaphytus nebrius,Sauria,Crotaphytidae,1977,112,,Carnivorous,Oviparous,Saxicolous,0,0,1,0,0,0
Crotaphytus reticulatus,Sauria,Crotaphytidae,1858,137,9.8,Carnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Crotaphytus vestigium,Sauria,Crotaphytidae,1972,127,2.67,Omnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Ctenoblepharys adspersa,Sauria,Liolaemidae,1845,75,,Carnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Ctenosaura acanthura,Sauria,Iguanidae,1802,450,20.7,Herbivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Ctenosaura bakeri,Sauria,Iguanidae,1901,315,9.8,Herbivorous,Oviparous,Arboreal,0,0,0,0,0,0
Ctenosaura clarki,Sauria,Iguanidae,1928,250,,Herbivorous,Oviparous,Arboreal,1,0,1,0,0,0
Ctenosaura conspicuosa,Sauria,Iguanidae,1919,304,,Omnivorous,,Arboreal&Saxicolous,1,0,1,0,1,0
Ctenosaura flavidorsalis,Sauria,Iguanidae,1994,185,,Omnivorous,Oviparous,Arboreal&Saxicolous&Terrestrial,0,0,1,0,0,0
Ctenosaura hemilopha,Sauria,Iguanidae,1863,400,24,Herbivorous,Oviparous,Arboreal&Saxicolous&Terrestrial,0,0,0,0,0,0
Ctenosaura macrolopha,Sauria,Iguanidae,1972,212,,Herbivorous,Oviparous,Arboreal&Saxicolous,1,0,1,0,0,0
Ctenosaura melanosterna,Sauria,Iguanidae,1997,322,17,Omnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Ctenosaura nolascensis,Sauria,Iguanidae,1972,285,,Herbivorous,Oviparous,Arboreal&Saxicolous&Terrestrial,1,0,1,0,0,0
Ctenosaura oaxacana,Sauria,Iguanidae,2001,170,,Herbivorous,Oviparous,Arboreal,0,0,1,0,0,0
Ctenosaura oedirhina,Sauria,Iguanidae,1987,315,,Herbivorous,Oviparous,Arboreal&Terrestrial,0,0,1,0,0,0
Ctenosaura palearis,Sauria,Iguanidae,1899,310,,Herbivorous,Oviparous,Arboreal,0,0,1,0,0,0
Ctenosaura pectinata,Sauria,Iguanidae,1834,400,31.1,Herbivorous,Oviparous,Arboreal&Saxicolous&Terrestrial,0,0,0,0,0,0
Ctenosaura quinquecarinata,Sauria,Iguanidae,1842,200,11,Herbivorous,Oviparous,Arboreal&Saxicolous,0,0,0,0,0,0
Ctenosaura similis,Sauria,Iguanidae,1831,490,43.4,Herbivorous,Oviparous,Arboreal&Saxicolous&Terrestrial,0,0,0,0,0,0
Cyclura carinata,Sauria,Iguanidae,1824,510,4.3,Herbivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Cyclura collei,Sauria,Iguanidae,1845,428,17.3,Herbivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Cyclura cornuta,Sauria,Iguanidae,1789,640,17.4,Herbivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Cyclura cychlura,Sauria,Iguanidae,1829,655,9.8,Herbivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Cyclura lewisi,Sauria,Iguanidae,1941,550,,Herbivorous,Oviparous,Terrestrial,1,0,1,0,0,0
Cyclura nubila,Sauria,Iguanidae,1831,750,15,Herbivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Cyclura pinguis,Sauria,Iguanidae,1917,560,14,Herbivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Cyclura ricordi,Sauria,Iguanidae,1837,485,11.1,Herbivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Cyclura rileyi,Sauria,Iguanidae,1903,395,4.4,Herbivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Diplolaemus bibronii,Sauria,Leiosauridae,1843,120,,Carnivorous,Oviparous,Terrestrial,1,0,1,0,0,0
Diplolaemus darwinii,Sauria,Leiosauridae,1843,120,,Carnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Diplolaemus leopardinus,Sauria,Leiosauridae,1898,80,,Carnivorous,Oviparous,Saxicolous,1,0,1,0,0,0
Diplolaemus sexcinctus,Sauria,Leiosauridae,2003,120,,Carnivorous,Oviparous,Terrestrial,1,0,1,0,0,0
Dipsosaurus dorsalis,Sauria,Iguanidae,1852,154,5.5,Herbivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Enyalioides annularis,Sauria,Hoplocercidae,1881,137,4.5,Carnivorous,Oviparous,Terrestrial,,0,0,0,0,0
Enyalioides azulae,Sauria,Hoplocercidae,2013,96,,,,Terrestrial,0,0,1,1,1,0
Enyalioides binzayedi,Sauria,Hoplocercidae,2013,122,,,,,0,0,1,1,1,1
Enyalioides cofanorum,Sauria,Hoplocercidae,1973,140,3,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Enyalioides groi,Sauria,Hoplocercidae,1933,110,,,,Terrestrial,,0,1,1,1,0
Enyalioides heterolepis,Sauria,Hoplocercidae,1874,138,,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,1,0,0,0
Enyalioides laticeps,Sauria,Hoplocercidae,1855,157,6.3,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Enyalioides microlepis,Sauria,Hoplocercidae,1881,127,,,,Cryptic,0,0,1,1,1,0
Enyalioides oshaughnessyi,Sauria,Hoplocercidae,1881,192,,,,,0,0,1,1,1,1
Enyalioides palpebralis,Sauria,Hoplocercidae,1883,122,,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,1,0,0,0
Enyalioides peruvianus,Sauria,Hoplocercidae,2003,153,,,,Terrestrial,,0,1,1,1,0
Enyalioides praestabilis,Sauria,Hoplocercidae,1881,128,,,Oviparous,Arboreal&Terrestrial,0,0,1,1,0,0
Enyalioides rubrigularis,Sauria,Hoplocercidae,2009,130,3,,Oviparous,Arboreal&Terrestrial,0,0,0,1,0,0
Enyalioides rudolfarndti,Sauria,Hoplocercidae,2011,116,,,,Arboreal,0,0,1,1,1,0
Enyalioides touzeti,Sauria,Hoplocercidae,2008,136,,,,Arboreal&Terrestrial,1,0,1,1,1,0
Enyalius bibronii,Sauria,Leiosauridae,1885,120,7.6,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Enyalius bilineatus,Sauria,Leiosauridae,1837,105,4.4,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Enyalius boulengeri,Sauria,Leiosauridae,1969,117,,Carnivorous,,Arboreal&Terrestrial,0,0,1,0,1,0
Enyalius brasiliensis,Sauria,Leiosauridae,1830,117,11.5,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Enyalius catenatus,Sauria,Leiosauridae,1821,1231,12,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Enyalius erythroceneus,Sauria,Leiosauridae,2006,90,,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,1,0,0,0
Enyalius iheringii,Sauria,Leiosauridae,1885,124,14,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Enyalius leechii,Sauria,Leiosauridae,1885,115,13,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Enyalius perditus,Sauria,Leiosauridae,1978,1002,10.2,Omnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Enyalius pictus,Sauria,Leiosauridae,1822,111,,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,1,0,0,0
Eurolophosaurus amathites,Sauria,Tropiduridae,1984,68,2,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Eurolophosaurus divaricatus,Sauria,Tropiduridae,1986,92,,Omnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Eurolophosaurus nanuzae,Sauria,Tropiduridae,1981,62,2.06,Carnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Gambelia copeii,Sauria,Crotaphytidae,1882,140,5,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Gambelia sila,Sauria,Crotaphytidae,1890,125,3.4,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Gambelia wislizenii,Sauria,Crotaphytidae,1852,146,7.6,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Holbrookia approximans,Sauria,Phrynosomatidae,1859,72,,Carnivorous,Oviparous,Terrestrial,1,0,1,0,0,0
Holbrookia elegans,Sauria,Phrynosomatidae,1874,75,8.2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Holbrookia lacerata,Sauria,Phrynosomatidae,1880,71,12,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Holbrookia maculata,Sauria,Phrynosomatidae,1851,75,10.8,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Holbrookia propinqua,Sauria,Phrynosomatidae,1852,62,4.65,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Hoplocercus spinosus,Sauria,Hoplocercidae,1843,105,2,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Iguana delicatissima,Sauria,Iguanidae,1768,434,,Herbivorous,Oviparous,Arboreal&Terrestrial,0,0,1,0,0,0
Iguana iguana,Sauria,Iguanidae,1758,580,40.6,Herbivorous,Oviparous,Arboreal,0,0,0,0,0,0
Laemanctus longipes,Sauria,Corytophanidae,1834,150,4,Carnivorous,Oviparous,Arboreal&Terrestrial,0,0,0,0,0,0
Laemanctus serratus,Sauria,Corytophanidae,1864,190,,Carnivorous,Oviparous,Arboreal&Terrestrial,1,0,1,0,0,0
Leiocephalus anonymous,Sauria,Leiocephalidae,1984,135,,,,,1,0,1,1,1,1
Leiocephalus apertosulcus,Sauria,Leiocephalidae,1965,200,,,,,1,0,1,1,1,1
Leiocephalus barahonensis,Sauria,Leiocephalidae,1921,84,2.06,Omnivorous,Oviparous,Saxicolous&Terrestrial,0,0,0,0,0,0
Leiocephalus carinatus,Sauria,Leiocephalidae,1827,1.332e+16,4.1,Omnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Leiocephalus cubensis,Sauria,Leiocephalidae,1840,121,2.33,Omnivorous,Oviparous,Terrestrial,1,0,0,0,0,0
Leiocephalus cuneus,Sauria,Leiocephalidae,1964,200,,Omnivorous,,Terrestrial,1,0,1,0,1,0
Leiocephalus endomychus,Sauria,Leiocephalidae,1967,69,,,,,1,0,1,1,1,1
Leiocephalus eremitus,Sauria,Leiocephalidae,1868,63,,,Oviparous,,1,0,1,1,0,1
Leiocephalus etheridgei,Sauria,Leiocephalidae,1981,115,,,,,1,0,1,1,1,1
Leiocephalus greenwayi,Sauria,Leiocephalidae,1935,75,,Carnivorous,,,1,0,1,0,1,1
Leiocephalus herminieri,Sauria,Leiocephalidae,1837,140,,,,,1,0,1,1,1,1
Leiocephalus inaguae,Sauria,Leiocephalidae,1931,90,,Omnivorous,Oviparous,Terrestrial,1,0,1,0,0,0
Leiocephalus jamaicensis,Sauria,Leiocephalidae,1966,170,,,,,1,0,1,1,1,1
Leiocephalus loxogrammus,Sauria,Leiocephalidae,1887,92,,Omnivorous,,Terrestrial,1,0,1,0,1,0
Leiocephalus lunatus,Sauria,Leiocephalidae,1934,67,1.6,,Oviparous,Saxicolous&Terrestrial,1,0,0,1,0,0
Leiocephalus macropus,Sauria,Leiocephalidae,1863,95,3,Herbivorous,Oviparous,Arboreal&Terrestrial,1,0,0,0,0,0
Leiocephalus melanochlorus,Sauria,Leiocephalidae,1863,130,,Omnivorous,Oviparous,Terrestrial,1,0,1,0,0,0
Leiocephalus onaneyi,Sauria,Leiocephalidae,1973,73,,Omnivorous,Oviparous,Terrestrial,1,0,1,0,0,0
Leiocephalus partitus,Sauria,Leiocephalidae,1981,135,,,,,,0,1,1,1,1
Leiocephalus personatus,Sauria,Leiocephalidae,1863,108,2,Carnivorous,Oviparous,Saxicolous&Terrestrial,0,0,0,0,0,0
Leiocephalus pratensis,Sauria,Leiocephalidae,1928,64,,,,Terrestrial,1,0,1,1,1,0
Leiocephalus psammodromus,Sauria,Leiocephalidae,1920,110,1.72,Omnivorous,Oviparous,Saxicolous&Terrestrial,0,0,0,0,0,0
Leiocephalus punctatus,Sauria,Leiocephalidae,1931,80,,Omnivorous,,Arboreal&Terrestrial,1,0,1,0,1,0
Leiocephalus raviceps,Sauria,Leiocephalidae,1863,7.41e+16,1.67,Omnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Leiocephalus rhutidira,Sauria,Leiocephalidae,1979,66,,,,,1,0,1,1,1,1
Leiocephalus schreibersii,Sauria,Leiocephalidae,1838,107,2.47,Carnivorous,Oviparous,Saxicolous&Terrestrial,0,0,0,0,0,0
Leiocephalus semilineatus,Sauria,Leiocephalidae,1920,53,1.78,Carnivorous,Oviparous,Arboreal&Saxicolous&Terrestrial,1,0,0,0,0,0
Leiocephalus stictigaster,Sauria,Leiocephalidae,1959,100,1.33,Omnivorous,Oviparous,Terrestrial,1,0,0,0,0,0
Leiocephalus vinculum,Sauria,Leiocephalidae,1928,77,,,,Arboreal&Terrestrial,1,0,1,1,1,0
Leiosaurus bellii,Sauria,Leiosauridae,1837,110,,Carnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Leiosaurus catamarcensis,Sauria,Leiosauridae,1898,120,,Carnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Leiosaurus jaguaris,Sauria,Leiosauridae,2007,111,,Carnivorous,,Saxicolous,1,0,1,0,1,0
Leiosaurus paronae,Sauria,Leiosauridae,1897,110,,Carnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Liolaemus abaucan,Sauria,Liolaemidae,1993,65,,Omnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Liolaemus abdalai,Sauria,Liolaemidae,2012,502,,,,Terrestrial,1,0,1,1,1,0
Liolaemus acostai,Sauria,Liolaemidae,2013,767,,Carnivorous,Oviparous,Terrestrial,1,0,1,0,0,0
Liolaemus albiceps,Sauria,Liolaemidae,1995,94,,Herbivorous,Viviparous,Saxicolous&Terrestrial,0,0,1,0,0,0
Liolaemus alticolor,Sauria,Liolaemidae,1909,552,3.5,Omnivorous,Viviparous,Saxicolous&Terrestrial,0,0,0,0,0,0
Liolaemus andinus,Sauria,Liolaemidae,1895,91,5.8,Omnivorous,Viviparous,Terrestrial,0,0,0,0,0,0
Liolaemus anomalus,Sauria,Liolaemidae,1896,95,7.5,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Liolaemus antumalguen,Sauria,Liolaemidae,2010,1078,,Carnivorous,Viviparous,Saxicolous,1,0,1,0,0,0
Liolaemus aparicioi,Sauria,Liolaemidae,2012,585,,Carnivorous,,Arboreal&Terrestrial,1,0,1,0,1,0
Liolaemus arambarensis,Sauria,Liolaemidae,2003,60,2,Omnivorous,Oviparous,Terrestrial,1,0,0,0,0,0
Liolaemus araucaniensis,Sauria,Liolaemidae,1932,609,,Omnivorous,Viviparous,Saxicolous&Terrestrial,1,0,1,0,0,0
Liolaemus archeforus,Sauria,Liolaemidae,1971,92,,Omnivorous,Viviparous,Terrestrial,0,0,1,0,0,0
Liolaemus atacamensis,Sauria,Liolaemidae,1933,77,5,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Liolaemus audituvelatus,Sauria,Liolaemidae,1983,607,3,Carnivorous,Viviparous,Saxicolous&Terrestrial,0,0,0,0,0,0
Liolaemus austromendocinus,Sauria,Liolaemidae,1974,104,4.33,Carnivorous,Viviparous,Saxicolous&Terrestrial,0,0,0,0,0,0
Liolaemus avilai,Sauria,Liolaemidae,2011,613,,,Viviparous,Terrestrial,0,0,1,1,0,0
Liolaemus azarai,Sauria,Liolaemidae,2003,543,,Carnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Liolaemus baguali,Sauria,Liolaemidae,1983,101,,Carnivorous,Viviparous,Saxicolous&Terrestrial,0,0,1,0,0,0
Liolaemus bellii,Sauria,Liolaemidae,1845,94,6.4,Omnivorous,Viviparous,Saxicolous,0,0,0,0,0,0
Liolaemus bibronii,Sauria,Liolaemidae,1843,70,3,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Liolaemus bitaeniatus,Sauria,Liolaemidae,1984,62,6.5,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Liolaemus boulengeri,Sauria,Liolaemidae,1898,78,4.55,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Liolaemus buergeri,Sauria,Liolaemidae,1907,111,,Omnivorous,Viviparous,Saxicolous&Terrestrial,0,0,1,0,0,0
Liolaemus burmeisteri,Sauria,Liolaemidae,2012,852,,Carnivorous,,Saxicolous&Terrestrial,1,0,1,0,1,0
Liolaemus calchaqui,Sauria,Liolaemidae,1996,60,,Omnivorous,Oviparous,Arboreal&Terrestrial,0,0,1,0,0,0
Liolaemus canqueli,Sauria,Liolaemidae,1975,100,,Omnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Liolaemus caparensis,Sauria,Liolaemidae,2011,59,,,Viviparous,Terrestrial,1,0,1,1,0,0
Liolaemus capillitas,Sauria,Liolaemidae,1979,93,,Carnivorous,Viviparous,,0,0,1,0,0,1
Liolaemus carlosgarini,Sauria,Liolaemidae,2013,753,,,,Saxicolous,1,0,1,1,1,0
Liolaemus casamiquelai,Sauria,Liolaemidae,2010,1062,5,Omnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Liolaemus cazianiae,Sauria,Liolaemidae,2010,763,,Herbivorous,,Terrestrial,1,0,1,0,1,0
Liolaemus chacabucoense,Sauria,Liolaemidae,2009,63,,Carnivorous,Viviparous,Terrestrial,0,0,1,0,0,0
Liolaemus chacoensis,Sauria,Liolaemidae,1948,55,6.1,Carnivorous,Oviparous,Terrestrial,0,0,0,0,0,0
Liolaemus chaltin,Sauria,Liolaemidae,2004,587,,Omnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Liolaemus chavin,Sauria,Liolaemidae,2013,665,4,,Viviparous,Terrestrial,0,0,0,1,0,0
Liolaemus chehuachekenk,Sauria,Liolaemidae,2008,1036,,Omnivorous,Oviparous,Terrestrial,0,0,1,0,0,0
Liolaemus chiliensis,Sauria,Liolaemidae,1830,106,14.5,Carnivorous,Oviparous,Arboreal&Saxicolous&Terrestrial,0,0,0,0,0,0
Liolaemus chillanensis,Sauria,Liolaemidae,1932,89,3,Omnivorous,Oviparous,Saxicolous,0,0,0,0,0,0
Liolaemus chlorostictus,Sauria,Liolaemidae,1993,85,,Herbivorous,,,1,0,1,0,1,1
Liolaemus chungara,Sauria,Liolaemidae,2014,581,,,,Terrestrial,1,0,1,1,1,0
Liolaemus cinereus,Sauria,Liolaemidae,2006,63,,Carnivorous,,,1,0,1,0,1,1
Liolaemus coeruleus,Sauria,Liolaemidae,1983,70,4.5,Carnivorous,Oviparous,Saxicolous&Terrestrial,0,0,0,0,0,0
Liolaemus confusus,Sauria,Liolaemidae,2006,6.51e+16,,Carnivorous,Oviparous,Saxicolous,1,0,1,0,0,0
Liolaemus constanzae,Sauria,Liolaemidae,1961,767,3.64,Omnivorous,Oviparous,Saxicolous&Terrestrial,1,0,0,0,0,0
Liolaemus cranwelli,Sauria,Liolaemidae,1973,575,,,,,1,0,1,1,1,1
Liolaemus crepuscularis,Sauria,Liolaemidae,2006,6.41e+16,4.5,Omnivorous,Viviparous,Arboreal&Saxicolous&Terrestrial,0,0,0,0,0,0
Liolaemus cristiani,Sauria,Liolaemidae,1991,782,,Omnivorous,Viviparous,Saxicolous,1,0,1,0,0,0
Liolaemus curicensis,Sauria,Liolaemidae,1938,69,,Omnivorous,Viviparous,Arboreal&Saxicolous&Terrestrial,1,0,1,0,0,0
