Scientific.Name,sub-order,Family,DescriptionYear,MaxSVL_mm,MaxAvgBroodSize,Diet,ReproductMode,substrate,TreeImputed,Missing_MaxSVL,Missing_MaxAvgBroodSize,Missing_Diet,Missing_ReproductMode,Missing_substrate
Amphisbaena plumbea,Amphisbaenia,Amphisbaenidae,1872,283,,,,Fossorial,1,0,1,1,1,0
Amphisbaena polygrammica,Amphisbaenia,Amphisbaenidae,1900,227,,,,Fossorial,1,0,1,1,1,0
Amphisbaena pretrei,Amphisbaenia,Amphisbaenidae,1839,462,,,,Fossorial,1,0,1,1,1,0
Amphisbaena prunicolor,Amphisbaenia,Amphisbaenidae,1885,238,,,,Fossorial,1,0,1,1,1,0
Amphisbaena ridleyi,Amphisbaenia,Amphisbaenidae,1890,253,,Carnivorous,,Fossorial,1,0,1,0,1,0
Amphisbaena roberti,Amphisbaenia,Amphisbaenidae,1964,268,4,Carnivorous,Oviparous,Fossorial,0,0,0,0,0,0
Amphisbaena rozei,Amphisbaenia,Amphisbaenidae,1963,196,,,,Fossorial,1,0,1,1,1,0
Amphisbaena sanctaeritae,Amphisbaenia,Amphisbaenidae,1994,165,,,,Fossorial,1,0,1,1,1,0
Amphisbaena saxosa,Amphisbaenia,Amphisbaenidae,2003,375,,,,Fossorial,0,0,1,1,1,0
Amphisbaena schmidti,Amphisbaenia,Amphisbaenidae,1964,240,,,,Fossorial,0,0,1,1,1,0
Amphisbaena silvestrii,Amphisbaenia,Amphisbaenidae,1902,162,,,,Fossorial,0,0,1,1,1,0
Amphisbaena slateri,Amphisbaenia,Amphisbaenidae,1907,163,,,,Fossorial,1,0,1,1,1,0
Amphisbaena slevini,Amphisbaenia,Amphisbaenidae,1936,120,,Carnivorous,Oviparous,Fossorial,1,0,1,0,0,0
Amphisbaena spurelli,Amphisbaenia,Amphisbaenidae,1915,320,,,,Fossorial,1,0,1,1,1,0
Amphisbaena steindachneri,Amphisbaenia,Amphisbaenidae,1881,243,,,,Fossorial,1,0,1,1,1,0
Amphisbaena stejnegeri,Amphisbaenia,Amphisbaenidae,1922,265,,,,Fossorial,1,0,1,1,1,0
